Elevation (m),Season,Silt,P,Mg,CEC,BS,B,Fe,Mn,Yield
588.08,Second Ratoon,141.5,48.0,12.0,81.8,67.0,0.99,21.0,15.0,56.595
588.162,Second Ratoon,126.0,14.0,8.0,54.4,69.0,0.37,15.0,11.0,52.879
588.346,Second Ratoon,106.0,22.0,6.0,45.1,65.0,0.46,13.0,12.5,47.02
588.438,Second Ratoon,72.0,16.0,7.0,59.4,55.0,0.58,18.0,19.9,58.552
588.85,Second Ratoon,113.0,13.0,7.0,50.7,64.0,0.5,14.0,14.4,51.839
589.133,Second Ratoon,121.0,10.0,9.0,52.3,67.0,0.57,12.0,14.8,57.501
589.322,Second Ratoon,133.0,78.0,7.0,49.4,64.0,0.5,15.0,16.0,54.358
589.332,Second Ratoon,128.0,55.0,3.0,40.2,43.0,0.41,14.0,8.9,57.725
589.134,Second Ratoon,142.0,19.0,6.0,46.6,59.0,0.5,16.0,20.1,56.444
588.921,Second Ratoon,139.5,13.0,8.0,59.5,65.0,1.14,17.0,15.2,55.856
588.315,Second Ratoon,119.5,10.0,8.0,55.8,59.0,0.5,11.0,18.6,47.864
589.757,Second Ratoon,100.5,30.0,4.0,48.0,52.0,0.73,11.0,6.5,55.844
589.958,Second Ratoon,101.5,7.0,2.0,37.3,41.0,0.59,17.0,5.1,57.888
