PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
F14,236725.513,7645258.822,584.373,16.207,PeM,Second Ratoon,445.500,479.000,75.500,19.000,4.900,18.000,0.900,13.000,5.000,23.000,19.000,42.000,45.000,19.000,0.410,2.600,14.000,13.700,56.308
F15,236733.451,7645308.188,584.851,13.441,PeM,Second Ratoon,452.000,456.000,92.000,20.000,5.700,15.000,1.100,34.000,10.000,20.000,45.200,65.200,69.000,10.000,1.010,2.800,14.000,14.400,58.495
F16,236741.388,7645357.554,584.875,3.316,PeM,Second Ratoon,460.500,432.000,107.500,19.000,5.100,10.000,0.900,22.000,6.000,27.000,29.000,56.000,52.000,18.000,0.700,3.200,17.000,14.100,59.727
F17,236749.325,7645406.920,584.813,7.279,PeM,Second Ratoon,479.000,405.000,116.000,19.000,5.000,9.000,0.600,15.000,5.000,18.000,20.700,38.700,53.000,21.000,0.500,4.300,17.000,17.100,61.235
F18,236757.262,7645456.286,584.903,6.968,PeM,Second Ratoon,499.000,375.000,126.000,23.000,5.300,8.000,0.400,29.000,9.000,29.000,38.500,67.500,57.000,14.000,0.820,3.500,17.000,14.000,56.509
F19,236765.199,7645505.652,584.749,12.626,PeM,Second Ratoon,492.500,400.000,107.500,27.000,5.500,10.000,0.700,31.000,7.000,27.000,38.900,65.900,59.000,15.000,0.810,3.500,17.000,11.400,62.367
F20,236773.136,7645555.018,583.832,11.919,PeM,Second Ratoon,473.500,413.000,113.500,23.000,5.300,12.000,4.000,25.000,9.000,14.000,38.100,52.100,73.000,13.000,0.500,3.000,9.000,14.400,66.227
G02,236679.634,7644658.494,585.960,9.740,PeM,Second Ratoon,438.000,499.000,63.000,18.000,5.300,7.000,0.600,19.000,2.000,30.000,21.700,51.700,42.000,12.000,0.490,2.300,12.000,3.900,54.257
G03,236687.572,7644707.860,585.494,13.423,PeM,Second Ratoon,468.000,451.000,81.000,19.000,5.300,20.000,2.400,21.000,7.000,14.000,30.500,44.500,69.000,10.000,0.490,1.900,12.000,8.100,61.907
G04,236695.509,7644757.226,585.194,11.792,PeM,Second Ratoon,472.500,451.000,76.500,24.000,5.400,5.000,1.000,28.000,5.000,23.000,34.200,57.200,60.000,8.000,0.840,2.000,12.000,6.400,56.452
G05,236703.446,7644806.592,585.610,10.939,PeM,Second Ratoon,441.000,481.000,78.000,21.875,5.263,11.250,1.138,25.500,5.750,24.875,32.513,57.388,54.875,12.000,0.718,2.700,13.750,6.800,52.570
G06,236711.383,7644855.958,585.984,10.638,PeM,Second Ratoon,468.813,432.000,99.188,24.000,5.500,16.000,2.300,38.000,12.000,23.000,52.500,75.500,70.000,12.000,0.770,3.300,15.000,7.200,56.479
G07,236719.320,7644905.324,586.707,6.083,PeM,Second Ratoon,493.500,408.000,98.500,21.000,5.300,6.000,0.900,29.000,7.000,27.000,37.100,64.100,58.000,11.000,0.840,3.400,16.000,11.800,48.465
G08,236727.257,7644954.690,587.338,9.757,PeM,Second Ratoon,476.500,413.000,110.500,21.000,5.100,6.000,0.900,41.000,8.000,30.000,50.000,80.000,63.000,12.000,0.720,4.600,21.000,19.100,51.600
G09,236735.194,7645004.055,587.727,11.665,PeM,Second Ratoon,459.500,398.000,142.500,28.000,5.400,33.000,1.300,36.000,10.000,28.000,47.600,75.600,63.000,9.000,0.800,1.600,17.000,13.500,53.272
G10,236743.131,7645053.421,588.080,9.446,PeM,Second Ratoon,456.500,402.000,141.500,29.000,5.500,48.000,0.700,42.000,12.000,27.000,54.800,81.800,67.000,15.000,0.990,3.100,21.000,15.000,56.595
G11,236751.068,7645102.787,588.162,10.241,PeM,Second Ratoon,469.000,405.000,126.000,22.000,5.300,14.000,1.300,28.000,8.000,17.000,37.400,54.400,69.000,12.000,0.370,3.300,15.000,11.000,52.879
G12,236759.005,7645152.153,588.346,10.343,PeM,Second Ratoon,463.125,430.875,106.000,18.000,5.200,22.000,2.000,21.000,6.000,16.000,29.100,45.100,65.000,15.000,0.460,2.900,13.000,12.500,47.020
