PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
D07,236571.222,7644929.135,571.868,6.873,PeM,Second Ratoon,508.500,380.000,111.500,21.000,5.000,6.000,1.500,28.000,8.000,36.000,37.700,73.700,51.000,15.000,0.730,3.500,11.000,12.200,53.048
D08,236579.159,7644978.501,572.443,8.474,PeM,Second Ratoon,509.500,389.000,101.500,23.000,5.100,130.000,0.900,35.000,8.000,35.000,44.100,79.100,56.000,16.000,0.790,3.500,17.000,18.400,46.791
D09,236587.096,7645027.867,573.093,9.739,PeM,Second Ratoon,524.000,383.000,93.000,22.000,5.000,8.000,1.400,19.000,4.000,35.000,24.600,59.600,41.000,16.000,0.800,3.100,16.000,12.700,50.708
D10,236595.033,7645077.233,573.647,8.795,PeM,Second Ratoon,537.500,369.000,93.500,23.000,5.100,8.000,1.200,40.000,9.000,35.000,50.400,85.400,59.000,15.000,0.980,2.900,16.000,10.800,51.341
D11,236602.970,7645126.599,573.969,8.617,PeM,Second Ratoon,501.000,406.000,93.000,23.000,4.800,7.000,0.900,20.000,7.000,42.000,28.100,70.100,40.000,11.000,0.960,2.700,22.000,14.700,51.502
D12,236610.907,7645175.964,574.343,9.837,PeM,Second Ratoon,437.000,452.000,111.000,19.000,5.000,8.000,1.000,30.000,4.000,34.000,35.100,69.100,51.000,10.000,0.800,2.200,13.000,6.900,54.375
D13,236618.845,7645225.330,574.487,7.760,PeM,Second Ratoon,417.500,505.000,77.500,19.000,5.200,6.000,0.600,38.000,7.000,29.000,45.700,74.700,61.000,9.000,1.220,1.900,13.000,9.200,55.050
D14,236626.782,7645274.696,574.842,11.462,PeM,Second Ratoon,409.500,531.000,59.500,23.000,5.100,10.000,0.700,26.000,5.000,31.000,31.800,62.800,51.000,7.000,0.870,2.100,23.000,6.500,48.661
D15,236634.719,7645324.062,575.254,13.258,PeM,Second Ratoon,417.000,516.000,67.000,19.000,4.800,9.000,0.800,20.000,4.000,34.000,25.000,59.000,42.000,13.000,0.590,2.000,15.000,8.900,51.673
D16,236642.656,7645373.428,575.283,8.671,PeM,Second Ratoon,443.500,473.000,83.500,19.000,5.600,7.000,1.400,34.000,7.000,31.000,42.600,73.600,58.000,6.000,0.780,3.000,18.000,12.200,60.453
D17,236650.593,7645422.794,575.549,6.283,PeM,Second Ratoon,471.000,428.000,101.000,19.000,4.700,9.000,0.700,21.000,4.000,36.000,25.800,61.800,42.000,19.000,0.770,2.500,15.000,9.700,53.885
D18,236658.530,7645472.160,575.695,6.537,PeM,Second Ratoon,486.000,396.000,118.000,22.000,5.100,13.000,0.700,30.000,6.000,31.000,36.800,67.800,54.000,11.000,0.850,2.300,16.000,7.800,60.068
D19,236666.467,7645521.526,575.637,6.598,PeM,Second Ratoon,509.000,371.000,120.000,21.000,4.900,7.000,0.300,16.000,5.000,18.000,21.400,39.400,54.000,19.000,0.380,2.500,13.000,11.900,50.075
E01,236572.966,7644625.002,577.326,17.786,PeM,Second Ratoon,377.500,561.000,61.500,31.000,4.800,19.000,0.600,26.000,4.000,34.000,30.900,64.900,48.000,10.000,0.930,1.600,14.000,5.600,67.188
E02,236580.903,7644674.368,576.768,11.186,PeM,Second Ratoon,413.000,531.000,56.000,22.000,4.800,7.000,1.100,18.000,3.000,21.000,22.200,43.200,51.000,12.000,0.480,1.900,14.000,6.100,70.632
E03,236588.840,7644723.734,575.870,8.486,PeM,Second Ratoon,386.000,544.000,70.000,25.000,4.800,12.000,0.700,19.000,6.000,23.000,25.800,48.800,53.000,11.000,0.430,3.000,23.000,10.400,58.765
E04,236596.777,7644773.100,575.560,8.521,PeM,Second Ratoon,424.500,473.000,102.500,26.000,4.800,9.000,0.700,19.000,7.000,22.000,26.800,48.800,55.000,10.000,0.520,2.800,17.000,12.700,61.445
E05,236604.714,7644822.466,575.650,7.812,PeM,Second Ratoon,503.500,411.000,85.500,22.000,4.700,5.000,1.100,18.000,5.000,22.000,24.200,46.200,52.000,12.000,0.290,3.000,16.000,13.900,59.016
E06,236612.651,7644871.832,575.970,9.078,PeM,Second Ratoon,515.500,380.000,104.500,22.000,5.000,4.000,0.900,25.000,9.000,19.000,35.000,54.000,65.000,11.000,0.570,2.500,9.000,10.700,60.838
E07,236620.588,7644921.198,576.863,13.549,PeM,Second Ratoon,529.000,379.000,92.000,21.000,5.000,6.000,1.200,22.000,5.000,24.000,28.300,52.300,54.000,16.000,0.560,3.200,12.000,13.400,66.053
E08,236628.525,7644970.564,577.833,11.047,PeM,Second Ratoon,521.500,368.000,110.500,22.000,5.100,6.000,1.100,23.000,9.000,20.000,33.200,53.200,62.000,10.000,0.480,3.000,9.000,8.200,62.246
E09,236636.462,7645019.930,577.836,7.215,PeM,Second Ratoon,524.000,384.000,92.000,24.000,5.100,36.000,3.100,20.000,6.000,30.000,29.300,59.300,49.000,20.000,0.870,2.800,15.000,11.400,60.427
E10,236644.399,7645069.296,577.852,1.275,PeM,Second Ratoon,523.000,359.000,118.000,17.000,5.200,39.000,3.000,17.000,3.000,28.000,23.300,51.300,45.000,11.000,0.740,2.000,10.000,7.200,56.038
E11,236652.336,7645118.661,578.476,8.110,PeM,Second Ratoon,496.500,403.000,100.500,17.000,5.000,9.000,2.800,15.000,5.000,20.000,22.900,42.900,53.000,16.000,0.400,2.200,8.000,9.500,61.687
E12,236660.273,7645168.027,578.653,9.590,PeM,Second Ratoon,479.000,432.000,89.000,20.375,5.150,9.500,1.650,29.625,6.875,24.875,38.275,63.150,59.375,12.625,0.721,2.313,13.000,11.163,64.073
E13,236668.210,7645217.393,579.285,17.429,PeM,Second Ratoon,441.500,467.000,91.500,19.000,5.000,12.000,1.800,15.000,5.000,18.000,21.900,39.900,55.000,20.000,0.420,2.300,13.000,11.900,63.943
E14,236676.148,7645266.759,579.621,13.265,PeM,Second Ratoon,408.500,531.000,60.500,20.000,4.800,6.000,0.900,14.000,4.000,18.000,19.000,37.000,51.000,23.000,0.580,2.100,14.000,6.100,58.044
E15,236684.085,7645316.125,579.683,8.991,PeM,Second Ratoon,435.000,484.000,81.000,22.000,5.000,24.000,2.300,17.000,6.000,16.000,25.400,41.400,61.000,11.000,0.490,2.100,10.000,10.800,58.395
E16,236692.022,7645365.491,578.145,32.491,PeM,Second Ratoon,451.500,450.000,98.500,20.000,5.100,48.000,1.100,31.000,5.000,28.000,37.300,65.300,57.000,10.000,0.650,2.000,25.000,17.900,56.663
E17,236699.959,7645414.857,579.692,16.869,PeM,Second Ratoon,463.000,430.000,107.000,19.875,5.088,14.625,0.775,24.625,5.625,28.000,31.150,59.150,52.125,15.500,0.703,3.013,17.000,12.863,62.584
E18,236707.896,7645464.223,578.708,11.285,PeM,Second Ratoon,435.000,457.000,108.000,18.000,4.800,13.000,0.400,15.000,3.000,24.000,18.500,42.500,44.000,25.000,0.550,3.300,11.000,10.100,56.362
E19,236715.833,7645513.589,579.113,27.179,PeM,Second Ratoon,491.500,376.000,132.500,18.000,4.700,53.000,0.800,14.000,3.000,24.000,17.900,41.900,43.000,32.000,0.460,3.500,14.000,11.500,57.775
E20,236723.770,7645562.955,579.271,11.064,PeM,Second Ratoon,490.000,388.000,122.000,16.000,5.000,28.000,0.600,19.000,3.000,29.000,22.900,51.900,44.000,33.000,0.590,1.900,13.000,7.300,56.156
F01,236622.331,7644617.065,582.387,9.480,PeM,Second Ratoon,390.500,546.000,63.500,23.500,5.075,14.250,0.900,26.000,3.750,27.750,30.800,58.550,51.500,12.000,0.715,1.725,13.750,5.375,64.707
F02,236630.269,7644666.431,581.753,9.142,PeM,Second Ratoon,399.000,525.000,76.000,23.000,5.400,24.000,1.300,41.000,6.000,26.000,48.400,74.400,65.000,14.000,0.960,1.100,15.000,5.900,59.322
F03,236638.206,7644715.797,580.935,7.607,PeM,Second Ratoon,444.000,473.000,83.000,30.000,5.000,9.000,0.400,25.000,4.000,18.000,29.500,47.500,62.000,18.000,0.660,2.200,10.000,8.900,61.589
